node,value,variable,i1,i2
23,0.0,H_heat_unmet,1
23,0.0,H_heat_unmet,12
23,0.0,H_heat_unmet,20
23,0.0,H_heat_unmet,2
23,0.0,H_heat_unmet,6
23,0.0,H_heat_unmet,22
23,0.0,H_heat_unmet,11
23,0.0,H_heat_unmet,13
23,0.0,H_heat_unmet,5
23,0.0,H_heat_unmet,15
23,0.0,H_heat_unmet,16
23,0.0,H_heat_unmet,14
23,0.0,H_heat_unmet,21
23,0.0,H_heat_unmet,7
23,0.0,H_heat_unmet,8
23,0.0,H_heat_unmet,17
23,0.0,H_heat_unmet,10
23,0.0,H_heat_unmet,19
23,0.0,H_heat_unmet,9
23,0.0,H_heat_unmet,18
23,0.0,H_heat_unmet,3
23,1.0,admin,HeatPump
23,1.0,admin,Geothermal
23,1.0,admin,Boiler
23,0.055040847727496955,invest_cumulative,HeatPump
23,0.013306168004086183,invest_cumulative,Geothermal
23,0.495921291332624,invest_cumulative,Boiler
23,0.2841512298583975,H_heat_prod,Boiler,19
23,0.20304644266764274,H_heat_prod,HeatPump,15
23,0.5867348974118125,H_heat_prod,Boiler,22
23,0.0,H_heat_prod,Boiler,12
23,0.0,H_heat_prod,Boiler,5
23,0.0,H_heat_prod,Geothermal,9
23,0.12448225263196289,H_heat_prod,Geothermal,17
23,0.015547714233397875,H_heat_prod,HeatPump,3
23,0.09493087780335728,H_heat_prod,Geothermal,16
23,0.259215189615885,H_heat_prod,Boiler,18
23,0.0,H_heat_prod,Boiler,2
23,0.0,H_heat_prod,Boiler,8
23,0.0,H_heat_prod,Geothermal,3
23,0.0,H_heat_prod,Boiler,14
23,0.0,H_heat_prod,Geothermal,5
23,0.0,H_heat_prod,HeatPump,17
23,0.0,H_heat_prod,Boiler,4
23,0.0,H_heat_prod,Boiler,13
23,0.0,H_heat_prod,Geothermal,19
23,0.0607692972819005,H_heat_prod,HeatPump,6
23,0.373728459676105,H_heat_prod,Boiler,21
23,0.0,H_heat_prod,Geothermal,13
23,0.0,H_heat_prod,Geothermal,4
23,0.0,H_heat_prod,Geothermal,21
23,0.0,H_heat_prod,Geothermal,20
23,0.0,H_heat_prod,HeatPump,19
23,6.612141921547027e-7,H_heat_prod,HeatPump,2
23,0.152301177978515,H_heat_prod,HeatPump,12
23,0.0,H_heat_prod,Geothermal,2
23,0.12549341825784,H_heat_prod,HeatPump,16
23,0.0,H_heat_prod,Geothermal,8
23,0.0,H_heat_prod,Geothermal,18
23,0.0,H_heat_prod,HeatPump,18
23,0.0,H_heat_prod,Boiler,1
23,0.03084172566731725,H_heat_prod,HeatPump,4
23,0.0,H_heat_prod,Boiler,3
23,0.0,H_heat_prod,HeatPump,1
23,0.06240806016967727,H_heat_prod,Geothermal,22
23,0.07578445434570251,H_heat_prod,HeatPump,7
23,0.0,H_heat_prod,Geothermal,10
23,0.0,H_heat_prod,Boiler,16
23,0.14659846697905776,H_heat_prod,HeatPump,22
23,0.1686433410644525,H_heat_prod,HeatPump,13
23,0.09087005615234325,H_heat_prod,HeatPump,8
23,0.0,H_heat_prod,Boiler,6
23,0.11405435320299763,H_heat_prod,Boiler,17
23,0.0,H_heat_prod,Boiler,9
23,0.3196834818522125,H_heat_prod,Boiler,20
23,0.10595718383788999,H_heat_prod,HeatPump,9
23,0.1856039937337235,H_heat_prod,HeatPump,14
23,0.0,H_heat_prod,Geothermal,15
23,0.12118545532226499,H_heat_prod,HeatPump,10
23,0.0,H_heat_prod,Geothermal,7
23,0.0,H_heat_prod,Boiler,11
23,0.0,H_heat_prod,Geothermal,12
23,0.0,H_heat_prod,Geothermal,6
23,0.0,H_heat_prod,Boiler,7
23,0.0,H_heat_prod,Geothermal,14
23,0.13662137349446551,H_heat_prod,HeatPump,11
23,0.0,H_heat_prod,HeatPump,20
23,0.0,H_heat_prod,Boiler,15
23,0.0,H_heat_prod,Geothermal,1
23,0.0,H_heat_prod,HeatPump,21
23,0.0,H_heat_prod,Geothermal,11
23,0.04587875366210875,H_heat_prod,HeatPump,5
23,0.0,H_heat_prod,Boiler,10
23,0.0,C_heat_unmet,4
23,0.0,C_heat_unmet,1
23,0.0,C_heat_unmet,12
23,0.0,C_heat_unmet,20
23,-8.64664714139708e-7,C_heat_unmet,2
23,0.0,C_heat_unmet,6
23,0.0,C_heat_unmet,22
23,0.0,C_heat_unmet,11
23,0.0,C_heat_unmet,13
23,0.0,C_heat_unmet,5
23,0.0,C_heat_unmet,15
23,0.0,C_heat_unmet,16
23,0.0,C_heat_unmet,14
23,0.0,C_heat_unmet,21
23,0.0,C_heat_unmet,7
23,0.0,C_heat_unmet,8
23,0.0,C_heat_unmet,17
23,0.0,C_heat_unmet,10
23,0.0,C_heat_unmet,19
23,0.0,C_heat_unmet,9
23,0.0,C_heat_unmet,18
23,0.0,C_heat_unmet,3
23,0.0,invest_master,HeatPump
23,0.0,invest_master,Geothermal
23,0.0,invest_master,Boiler
23,372460.2384245938,obj,
23,0.055040847727496955,invest,HeatPump
23,0.013306168004086185,invest,Geothermal
23,0.6519276637909028,invest,Boiler
2,0.0,C_heat_prod,HeatPump,15
2,0.055064811706543704,C_heat_prod,Geothermal,9
2,0.149024620056153,C_heat_prod,Geothermal,17
2,0.0,C_heat_prod,HeatPump,3
2,0.13338111877441475,C_heat_prod,Geothermal,16
2,0.007164611816406825,C_heat_prod,Geothermal,3
2,0.022084655761719325,C_heat_prod,Geothermal,5
2,0.0,C_heat_prod,HeatPump,17
2,0.18786434173584052,C_heat_prod,Geothermal,19
2,0.0,C_heat_prod,HeatPump,6
2,0.09490620930989652,C_heat_prod,Geothermal,13
2,0.014553680419922476,C_heat_prod,Geothermal,4
2,0.2528171920776378,C_heat_prod,Geothermal,21
2,0.21399482727050853,C_heat_prod,Geothermal,20
2,0.0,C_heat_prod,HeatPump,19
2,8.646647141397078e-7,C_heat_prod,HeatPump,2
2,0.0,C_heat_prod,HeatPump,12
2,8.646647141397078e-7,C_heat_prod,Geothermal,2
2,0.0,C_heat_prod,HeatPump,16
