quantile,variable,count,technology,heat_production,primary_energy,CO2_emissions,OpEx,Q,period,ssp
11,CDH,27.333333333333332,HeatPump,0.39798,0.08297191999478794,0.01244578799921819,25.541775974082274,0.48642,2030s,ssp126
12,CDH,15.5,HeatPump,0.4422,0.0988546255506608,0.014828193832599118,30.431050649127755,0.53064,2030s,ssp126
13,CDH,11.0,HeatPump,0.48642,0.11620625124427636,0.017430937686641453,35.77251239040479,0.57486,2030s,ssp126
14,CDH,6.0,HeatPump,0.5306400000000001,0.13506812244624558,0.020260218366936835,41.5788826506441,0.6190800000000001,2030s,ssp126
15,CDH,2.0,HeatPump,0.57486,0.15548312935289746,0.023322469402934618,47.86336459286985,0.6633,2030s,ssp126
1,CDH,659.3333333333334,Geothermal,0.04422,0.002327368421052632,0.0003491052631578948,0.7164486831618948,0.04422,2030s,ssp126
2,CDH,535.3333333333334,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.08844,2030s,ssp126
3,CDH,455.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.13266,2030s,ssp126
4,CDH,350.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.17688,2030s,ssp126
5,CDH,268.3333333333333,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.22110000000000002,2030s,ssp126
6,CDH,221.5,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.26532,2030s,ssp126
7,CDH,151.5,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.30954000000000004,2030s,ssp126
8,CDH,95.16666666666667,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.35376,2030s,ssp126
9,CDH,60.833333333333336,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.39798,2030s,ssp126
10,CDH,38.833333333333336,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.44220000000000004,2030s,ssp126
11,CDH,27.333333333333332,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.48642,2030s,ssp126
12,CDH,15.5,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.53064,2030s,ssp126
13,CDH,11.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.57486,2030s,ssp126
14,CDH,6.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.6190800000000001,2030s,ssp126
15,CDH,2.0,Geothermal,0.08844,0.004654736842105264,0.0006982105263157896,1.4328973663237896,0.6633,2030s,ssp126
1,CDH,659.3333333333334,BTES,0.04654736842105263,0.0,0.0,0.0,0.04422,2030s,ssp126
2,CDH,535.3333333333334,BTES,0.09309473684210526,0.0,0.0,0.0,0.08844,2030s,ssp126
3,CDH,455.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.13266,2030s,ssp126
4,CDH,350.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.17688,2030s,ssp126
5,CDH,268.3333333333333,BTES,0.09309473684210526,0.0,0.0,0.0,0.22110000000000002,2030s,ssp126
6,CDH,221.5,BTES,0.09309473684210526,0.0,0.0,0.0,0.26532,2030s,ssp126
7,CDH,151.5,BTES,0.09309473684210526,0.0,0.0,0.0,0.30954000000000004,2030s,ssp126
8,CDH,95.16666666666667,BTES,0.09309473684210526,0.0,0.0,0.0,0.35376,2030s,ssp126
9,CDH,60.833333333333336,BTES,0.09309473684210526,0.0,0.0,0.0,0.39798,2030s,ssp126
10,CDH,38.833333333333336,BTES,0.09309473684210526,0.0,0.0,0.0,0.44220000000000004,2030s,ssp126
11,CDH,27.333333333333332,BTES,0.09309473684210526,0.0,0.0,0.0,0.48642,2030s,ssp126
12,CDH,15.5,BTES,0.09309473684210526,0.0,0.0,0.0,0.53064,2030s,ssp126
13,CDH,11.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.57486,2030s,ssp126
14,CDH,6.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.6190800000000001,2030s,ssp126
15,CDH,2.0,BTES,0.09309473684210526,0.0,0.0,0.0,0.6633,2030s,ssp126
1,CDH,659.3333333333334,unmet_demand,0.0,0.0,0.0,0.0,0.04422,2030s,ssp126
2,CDH,535.3333333333334,unmet_demand,0.0,0.0,0.0,0.0,0.08844,2030s,ssp126
3,CDH,455.0,unmet_demand,0.0,0.0,0.0,0.0,0.13266,2030s,ssp126
4,CDH,350.0,unmet_demand,0.0,0.0,0.0,0.0,0.17688,2030s,ssp126
5,CDH,268.3333333333333,unmet_demand,0.0,0.0,0.0,0.0,0.22110000000000002,2030s,ssp126
6,CDH,221.5,unmet_demand,0.0,0.0,0.0,0.0,0.26532,2030s,ssp126
7,CDH,151.5,unmet_demand,0.0,0.0,0.0,0.0,0.30954000000000004,2030s,ssp126
8,CDH,95.16666666666667,unmet_demand,0.0,0.0,0.0,0.0,0.35376,2030s,ssp126
9,CDH,60.833333333333336,unmet_demand,0.0,0.0,0.0,0.0,0.39798,2030s,ssp126
10,CDH,38.833333333333336,unmet_demand,0.0,0.0,0.0,0.0,0.44220000000000004,2030s,ssp126
11,CDH,27.333333333333332,unmet_demand,0.0,0.0,0.0,0.0,0.48642,2030s,ssp126
12,CDH,15.5,unmet_demand,0.0,0.0,0.0,0.0,0.53064,2030s,ssp126
13,CDH,11.0,unmet_demand,0.0,0.0,0.0,0.0,0.57486,2030s,ssp126
14,CDH,6.0,unmet_demand,0.0,0.0,0.0,0.0,0.6190800000000001,2030s,ssp126
15,CDH,2.0,unmet_demand,0.0,0.0,0.0,0.0,0.6633,2030s,ssp126
1,CDH,628.3333333333334,HeatPump,0.0,0.0,0.0,0.0,0.04422,2030s,ssp245
2,CDH,522.6666666666666,HeatPump,0.0,0.0,0.0,0.0,0.08844,2030s,ssp245
3,CDH,427.0,HeatPump,0.044219999999999995,0.004296071406885664,0.0006444107110328497,1.2953364691291518,0.13266,2030s,ssp245
4,CDH,343.1666666666667,HeatPump,0.08844,0.00974903545838692,0.001462355318758038,2.939495174088922,0.17688,2030s,ssp245
5,CDH,262.6666666666667,HeatPump,0.13266,0.01638890604731608,0.002458335907097412,4.941525799174131,0.22110000000000002,2030s,ssp245
6,CDH,194.5,HeatPump,0.17687999999999998,0.024246744345442082,0.003637011651816312,7.310793800578478,0.26532,2030s,ssp245
