period,ssp,tech,power,cost,th_max,th_min,th_eff
2040s,ssp126,BTES,0.1396421052631579,111713.68421052632,0.1396421052631579,0.1396421052631579,0.1396421052631579
2040s,ssp245,Geothermal,0.02439059499345847,7317.1784980375405,0.3979879904887146,0.11748533183556373,0.18059211373192488
2040s,ssp245,Boiler,0.623162292939729,62316.2292939729,0.5608460636457562,0.5608460636457562,0.5608460636457562
2040s,ssp245,HeatPump,0.2535913978494624,126795.69892473119,3.793093333333333,0.6955800716845878,1.870094452459069
2040s,ssp245,BTES,0.09309473684210526,74475.78947368421,0.09309473684210526,0.09309473684210526,0.09309473684210526
2040s,ssp370,Geothermal,0.021788255191080366,6536.47655732411,0.3555249022042741,0.11488299203318562,0.1634707684951107
2040s,ssp370,Boiler,0.6218416129818751,62184.161298187515,0.5596574516836876,0.5596574516836876,0.5596574516836875
2040s,ssp370,HeatPump,0.1774958017612124,88747.9008806062,2.654893454843334,0.5410571244624207,1.2990606527365123
2040s,ssp370,BTES,0.09309473684210526,74475.78947368421,0.09309473684210526,0.09309473684210526,0.09309473684210526
2040s,ssp585,Geothermal,0.022433889276428438,6730.166782928532,0.3660598896569218,0.1155286261185337,0.17414472666420686
2040s,ssp585,Boiler,0.617685874548856,61768.5874548856,0.5559172870939705,0.5559172870939705,0.5559172870939705
2040s,ssp585,HeatPump,0.2011523881728583,100576.19408642915,3.0087368460955277,0.5964168309325247,1.5014412092987124
2040s,ssp585,BTES,0.09309473684210526,74475.78947368421,0.09309473684210526,0.09309473684210526,0.09309473684210526
2050s,ssp126,Geothermal,0.035602550898886594,10680.765269665979,0.5809365328037414,0.17524465616204454,0.2575704302475014
2050s,ssp126,Boiler,0.830740516279653,83074.0516279653,0.7476664646516876,0.7476664646516876,0.7476664646516877
2050s,ssp126,HeatPump,0.1435228886334438,71761.4443167219,2.1467436067347356,0.4036888791862679,0.9906013682101183
2050s,ssp126,BTES,0.1396421052631579,111713.68421052632,0.1396421052631579,0.1396421052631579,0.1396421052631579
2050s,ssp245,Geothermal,0.044867778552856875,13460.333565857063,0.7321197793138436,0.2310572522370674,0.3348243574824446
2050s,ssp245,Boiler,0.29180263666942363,29180.263666942363,0.26262237300248126,0.26262237300248126,0.26262237300248126
2050s,ssp245,HeatPump,0.2510895024487189,125544.75122435945,3.7556712328767126,0.7444803747604515,1.7944337397772538
2050s,ssp245,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2050s,ssp370,Geothermal,0.044867778552856875,13460.333565857063,0.7321197793138436,0.2310572522370674,0.34320619536505215
2050s,ssp370,Boiler,0.5446757343941607,54467.573439416075,0.4902081609547447,0.4902081609547447,0.4902081609547447
2050s,ssp370,HeatPump,0.1743320697498105,87166.03487490525,2.6075719332827902,0.516894586808188,1.295012772553431
2050s,ssp370,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2050s,ssp585,Geothermal,0.05447063797770092,16341.191393310277,0.8888122555106853,0.2872074800829641,0.42605927199973265
2050s,ssp585,Boiler,0.3001439342110014,30014.39342110014,0.27012954078990126,0.27012954078990126,0.27012954078990126
2050s,ssp585,HeatPump,0.20883997469955726,104419.98734977863,3.123723921568627,0.6366029791271347,1.5818568356475426
2050s,ssp585,BTES,0.23273684210526316,186189.47368421053,0.23273684210526316,0.23273684210526316,0.23273684210526316
2060s,ssp126,Geothermal,0.035602550898886594,10680.765269665979,0.5809365328037414,0.16450862414185527,0.2606096493751982
2060s,ssp126,Boiler,0.9598466299476893,95984.66299476894,0.8638619669529204,0.8638619669529204,0.8638619669529204
2060s,ssp126,HeatPump,0.1648175302068401,82408.76510342004,2.46525820806881,0.43088940890522437,1.138216275697502
2060s,ssp126,BTES,0.1396421052631579,111713.68421052632,0.1396421052631579,0.1396421052631579,0.1396421052631579
2060s,ssp245,Geothermal,0.044867778552856875,13460.333565857063,0.7321197793138436,0.22582298082410962,0.3400935735387033
2060s,ssp245,Boiler,0.0,0.0,0.0,0.0,0.0
2060s,ssp245,HeatPump,0.36601903970635563,183009.51985317783,5.4747297864078135,1.0565570191758904,2.545564756259294
2060s,ssp245,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2060s,ssp370,Geothermal,0.04357651038216073,13072.95311464822,0.7110498044085481,0.21932392879267512,0.34178980246730584
2060s,ssp370,Boiler,0.5455135147152156,54551.35147152156,0.490962163243694,0.490962163243694,0.49096216324369396
2060s,ssp370,HeatPump,0.19818832208226045,99094.16104113022,2.96440182754541,0.5720939079636309,1.504076730054125
2060s,ssp370,BTES,0.18618947368421052,148951.57894736843,0.18618947368421052,0.18618947368421052,0.18618947368421052
2060s,ssp585,Geothermal,0.05039709950691686,15119.129852075059,0.8223432173178643,0.24275422394197588,0.40723346910389163
2060s,ssp585,Boiler,0.39497208028196146,39497.208028196146,0.35547487225376534,0.35547487225376534,0.35547487225376534
2060s,ssp585,HeatPump,0.28166765443266323,140833.8272163316,4.21304394117656,0.7725909038042591,2.1603621860406648
2060s,ssp585,BTES,0.19235712443505898,153885.69954804718,0.19235712443505898,0.19235712443505898,0.19235712443505898
