,index,td,th,solar_gains,temperature
147,147,0,3,0.0,-18.288393020629883
148,148,0,4,0.0,-17.942977905273438
149,149,0,5,0.0,-17.10006332397461
150,150,0,6,0.026884389032223656,-16.259765625
151,151,0,7,1.6860178160581918,-15.623208045959473
152,152,0,8,10.317506548176063,-14.765816688537598
153,153,0,9,26.075946245890204,-13.88193130493164
154,154,0,10,39.078881259999214,-13.060740470886232
155,155,0,11,46.3447814297861,-12.031457901000977
156,156,0,12,47.102235896289415,-11.163705825805664
157,157,0,13,40.892706377216534,-10.945428848266603
158,158,0,14,28.456702085417035,-11.24450969696045
159,159,0,15,12.602331408627018,-11.748833656311035
160,160,0,16,1.4861161555192446,-13.161934852600098
161,161,0,17,0.04023249703654872,-14.117782592773438
162,162,0,18,0.00011746135023297635,-14.837119102478027
163,163,0,19,0.0,-15.697352409362793
164,164,0,20,0.0,-16.232290267944336
165,165,0,21,0.0,-15.721708297729492
166,166,0,22,0.0,-15.526873588562012
167,167,0,23,0.0,-15.565133094787598
168,168,13,0,0.0,17.94162910603997
169,169,13,1,0.0,17.44432798548131
170,170,13,2,0.0003361859580084277,17.00110765937312
171,171,13,3,0.0030324064900882327,16.607845595313353
172,172,13,4,1.786533260318694,16.31994983373265
173,173,13,5,15.21882557920493,16.543142080804916
174,174,13,6,38.7299341494367,17.510168632118123
175,175,13,7,64.44917963686048,19.013679642387316
176,176,13,8,84.83834510998838,20.75498390908697
177,177,13,9,96.09602550016062,22.528675271625307
178,178,13,10,99.17011762954847,24.14575075769789
179,179,13,11,99.65001843472477,25.460226880758015
180,180,13,12,103.2958040203478,26.411822660375872
181,181,13,13,108.84390242718271,26.99524342588757
182,182,13,14,109.25961021149938,27.205853081279976
183,183,13,15,99.46108005476316,27.049613621448
184,184,13,16,78.88665569965889,26.51464862290419
185,185,13,17,51.130620178062095,25.59282490668884
186,186,13,18,23.175718769889894,24.310991823068537
187,187,13,19,4.831039796401713,22.9017558314153
188,188,13,20,0.0,21.72280390618322
189,189,13,21,0.0,20.82802809859113
190,190,13,22,0.0,20.107331133117132
191,191,13,23,0.0,19.479911221546022
192,192,7,0,0.0,9.164331873716112
193,193,7,1,0.0,8.856730009384611
194,194,7,2,0.0,8.588501713059939
195,195,7,3,0.0,8.355580319042712
196,196,7,4,0.20895085423452595,8.16175001096192
197,197,7,5,4.518645870082858,8.136147817274509
198,198,7,6,17.309595156090307,8.534243528254288
199,199,7,7,36.78739887802586,9.42141475301951
200,200,7,8,57.26273298884084,10.647793036614427
201,201,7,9,73.18177552781368,11.999547565365397
202,202,7,10,82.78615772976825,13.316072476037688
203,203,7,11,88.73125633913232,14.501965774014865
204,204,7,12,92.76290908790097,15.4440413304308
205,205,7,13,93.12295850464947,16.04057783049845
206,206,7,14,86.47895882826806,16.25114698197554
207,207,7,15,71.9892076632281,16.104669689413157
208,208,7,16,50.80220188663616,15.620316742444915
209,209,7,17,27.4543093405843,14.834405138236061
210,210,7,18,10.092293043863947,13.894617105501473
211,211,7,19,1.5701015682514572,13.012732455579753
212,212,7,20,0.0,12.330825167774723
213,213,7,21,0.0,11.811372647865579
214,214,7,22,0.0,11.37978176626173
215,215,7,23,0.0,11.00262350215483
216,216,3,0,0.00020483977585045098,5.569147655007377
217,217,3,1,7.750551185141897e-05,5.467546229972717
218,218,3,2,0.0,5.371157015683671
219,219,3,3,0.0,5.278433319894535
220,220,3,4,0.00012779053724312075,5.193831394491796
221,221,3,5,0.0733075212594511,5.120480323494556
222,222,3,6,1.2871356375267358,5.090038764891339
223,223,3,7,5.195812071104723,5.170375051459036
224,224,3,8,12.259443028082263,5.390590269040065
225,225,3,9,22.13968316892461,5.763477044845863
226,226,3,10,30.38461308427947,6.20813111096707
227,227,3,11,35.32392992331943,6.6329708076729155
228,228,3,12,36.3582147110524,6.962555553692926
229,229,3,13,33.213648217886394,7.141468293413619
230,230,3,14,26.048244250926626,7.1478663418766955
231,231,3,15,16.689451678189293,6.992772621865853
232,232,3,16,7.418258635225129,6.717579021642946
233,233,3,17,2.356523751314964,6.432630705747162
234,234,3,18,0.3755645080890406,6.194015771620499
235,235,3,19,0.009755721305338694,6.015989349959856
236,236,3,20,0.0012750385362460931,5.8806509695133355
237,237,3,21,0.0011373469904674162,5.766001770751476
238,238,3,22,0.0007517196504153057,5.668466086145963
239,239,3,23,0.0008723267303428585,5.582433581035985
240,240,10,0,0.008557747970311728,16.25744968146693
241,241,10,1,0.014708689003734034,16.015184007636886
242,242,10,2,0.02163357769701077,15.7961465523724
243,243,10,3,0.028164745382304488,15.591082169196081
244,244,10,4,0.6982259111036175,15.417848491216601
245,245,10,5,5.091785810454022,15.36938846881237
246,246,10,6,13.277960018354682,15.503522664149518
247,247,10,7,24.106640656333045,15.829156174639364
248,248,10,8,34.66087391083057,16.292396317827695
249,249,10,9,42.51502919783018,16.830372321956062
250,250,10,10,47.18571784141954,17.390469090640373
251,251,10,11,50.68091512151018,17.940734694188826
252,252,10,12,54.518098091997736,18.42828700984283
253,253,10,13,57.57674245441963,18.771954210782084
254,254,10,14,57.0082235444235,18.911685911759665
255,255,10,15,50.6127147972867,18.821648442658017
256,256,10,16,38.67974770670303,18.508178037844754
257,257,10,17,23.44185207095726,17.98972878743266
258,258,10,18,9.990589642618648,17.342474110296514
259,259,10,19,2.3000801945842,16.69847000505191
260,260,10,20,0.0,16.16606384573581
261,261,10,21,0.0,15.747124359319285
262,262,10,22,0.0004973131716088233,15.397115363277033
263,263,10,23,0.0026629819296169806,15.090922878338722
264,264,14,0,1.9994673509186995e-05,20.903968813073597
265,265,14,1,0.001835579290185495,20.354431357005613
266,266,14,2,0.007951958452602584,19.857700365334672
267,267,14,3,0.021032960871557038,19.40832176822276
268,268,14,4,2.1172038148132835,19.07600730147485
269,269,14,5,17.864373868743403,19.344302905834063
270,270,14,6,43.921074912662135,20.445477389659988
271,271,14,7,70.74549446344466,22.129285531367366
272,272,14,8,90.6999700940797,24.077352091065276
273,273,14,9,100.37332035260081,26.030537429443275
274,274,14,10,101.58367301649864,27.732136700325384
275,275,14,11,100.5578624335906,29.026539513801726
276,276,14,12,103.77098346924282,29.916828409755112
277,277,14,13,109.31329848835766,30.405783058015857
278,278,14,14,110.19216020989678,30.510606886344515
279,279,14,15,100.98135155287349,30.23779892881882
280,280,14,16,81.21750426516357,29.58983937776835
281,281,14,17,53.705713114292344,28.535212432105762
282,282,14,18,24.902884395447717,27.101292270030736
283,283,14,19,5.132661321585404,25.535371365773823
284,284,14,20,0.0,24.23459088242974
285,285,14,21,0.0,23.248923802823203
286,286,14,22,0.0,22.459187099829855
287,287,14,23,0.0,21.774552959246307
288,288,11,0,0.0,14.887077986116376
289,289,11,1,0.0,14.451487590174638
290,290,11,2,0.0,14.067762304742157
291,291,11,3,0.0,13.730149577162138
292,292,11,4,1.4711384158019705,13.485220818616993
293,293,11,5,12.330565358994976,13.651371549899912
294,294,11,6,32.67382042387361,14.45290315687389
295,295,11,7,56.74774016100418,15.76228895524967
296,296,11,8,77.12652061597208,17.30658231515443
297,297,11,9,89.53814533304575,18.903605927380738
298,298,11,10,94.45485422562297,20.420474397063145
299,299,11,11,96.38209645310332,21.715761956291182
300,300,11,12,100.36672378078524,22.690619450621394
301,301,11,13,104.9946789492587,23.307683675955758
302,302,11,14,104.3089588013,23.559556385787953
303,303,11,15,93.72228736068853,23.45401270528046
304,304,11,16,73.1094330839876,22.985090635975425
305,305,11,17,45.96180661174146,22.142686602030903
306,306,11,18,20.30648202404483,20.982939106624276
307,307,11,19,4.476645223264292,19.742842025546096
308,308,11,20,0.0,18.702915392149826
309,309,11,21,0.0,17.90870376564563
310,310,11,22,0.0,17.2668809403151
311,311,11,23,0.0,16.71084109899396
312,312,8,0,0.008488837575083735,13.363665448880267
313,313,8,1,0.011866357544711633,13.203214809461892
314,314,8,2,0.01554816885178705,13.049956725495571
315,315,8,3,0.017221167343884687,12.90425463843079
316,316,8,4,0.2937262796594937,12.772880592806299
317,317,8,5,2.452048216984369,12.701988776168392
318,318,8,6,6.885634564807118,12.729930565103903
319,319,8,7,14.040931901717784,12.89445139655818
320,320,8,8,22.821039195579655,13.191347993926465
321,321,8,9,30.953910266039745,13.580425301299588
322,322,8,10,37.129519068456034,14.00946442823706
323,323,8,11,41.479378289548926,14.433698763387829
324,324,8,12,44.61395634151134,14.801932047893693
325,325,8,13,45.69553130471786,15.048043490340458
326,326,8,14,42.92968638338751,15.127451822170103
327,327,8,15,35.951048872628725,15.029172174356807
328,328,8,16,25.219555694155904,14.762778540252304
329,329,8,17,13.614207690586836,14.355387282912925
330,330,8,18,5.4846971427722115,13.89712846043486
331,331,8,19,1.320689188302329,13.474590649944215
332,332,8,20,0.00098167439939103,13.125359780089394
333,333,8,21,0.002576726954440054,12.844328415661218
334,334,8,22,0.003672633145443463,12.607682075311654
335,335,8,23,0.0053994422710601404,12.397331423277182
336,336,5,0,0.0,5.921892429299931
337,337,5,1,0.0,5.7148677736979
338,338,5,2,0.0,5.546197622414527
339,339,5,3,0.0,5.408758056871697
340,340,5,4,0.006034389126697776,5.300395007558831
341,341,5,5,1.0530567791166463,5.2531615990538745
342,342,5,6,8.386832804531208,5.474593817661936
343,343,5,7,22.71650845544253,6.117442612616751
344,344,5,8,40.09958537418129,7.085088744271184
345,345,5,9,55.335875248049994,8.188006190135507
346,346,5,10,65.50978253256142,9.27271528135906
347,347,5,11,71.17821893099645,10.250311011055125
348,348,5,12,73.35319626092829,11.033428225792267
349,349,5,13,70.79092760611617,11.534190223400225
350,350,5,14,61.57523013818109,11.710538998877123
351,351,5,15,47.03847090545855,11.587687861729687
352,352,5,16,29.216603149720264,11.196212823497277
353,353,5,17,12.866198231064098,10.602497446648075
354,354,5,18,3.3027650162707265,9.967512567516536
355,355,5,19,0.19637221163757354,9.442182842015752
356,356,5,20,0.0,9.055295310164727
357,357,5,21,0.0,8.751887969351746
358,358,5,22,0.0,8.489623502042521
359,359,5,23,0.0,8.255157831230216
360,360,1,0,9.719010767090016e-05,0.2656956552607242
361,361,1,1,0.0,0.11855916290790317
362,362,1,2,0.0,-0.01214277387674732
363,363,1,3,0.0,-0.13249699302310441
364,364,1,4,0.0,-0.2429471348703169
365,365,1,5,0.0002323342906384987,-0.3435061199611239
366,366,1,6,0.27447347422832497,-0.42147075562552
367,367,1,7,3.3731809718339125,-0.385846503140391
368,368,1,8,11.555184419653141,-0.12169909825646114
369,369,1,9,24.10028570271834,0.3988167598673097
370,370,1,10,34.367917697628044,1.010975581021372
371,371,1,11,40.23226820802669,1.5663761893725672
372,372,1,12,40.94277338651782,1.9865265942069366
373,373,1,13,36.19675349563015,2.2166312980865013
374,374,1,14,26.500239706723246,2.231360219453051
375,375,1,15,13.869114340258319,2.0161093909520287
376,376,1,16,3.477326713838801,1.6412244884032063
377,377,1,17,0.40715456448680876,1.3065687693805899
378,378,1,18,0.006955483184925195,1.076120124393089
379,379,1,19,0.0005962597906471172,0.9072471897026791
380,380,1,20,0.0006797677456874002,0.7664247080963489
381,381,1,21,0.0004527582307769185,0.6434496408599395
382,382,1,22,0.0002623774817103751,0.5371516294892684
383,383,1,23,0.0002326946793529483,0.44847959158129763
