"year","gcm","ssp","avg"
"2027","EC-Earth3-Veg","ssp126","12.488558315160525"
"2027","EC-Earth3-Veg","ssp245","11.358733966681903"
"2027","EC-Earth3-Veg","ssp370","11.325336080121932"
"2027","EC-Earth3-Veg","ssp585","12.86594629234267"
"2027","IPSL-CM6A-LR","ssp126","10.983225927395296"
"2027","IPSL-CM6A-LR","ssp245","11.527357546339337"
"2027","IPSL-CM6A-LR","ssp370","11.94475884568632"
"2027","IPSL-CM6A-LR","ssp585","10.830868704046004"
"2027","MIROC6","ssp126","11.245399683323523"
"2027","MIROC6","ssp245","11.985359573934906"
"2027","MIROC6","ssp370","11.417929448722012"
"2027","MIROC6","ssp585","12.17254041172083"
"2027","MPI-ESM1-2-HR","ssp126","11.052443895878516"
"2027","MPI-ESM1-2-HR","ssp245","10.8379010165641"
"2027","MPI-ESM1-2-HR","ssp370","10.710974055398232"
"2027","MPI-ESM1-2-HR","ssp585","11.410603041253472"
"2027","NorESM2-MM","ssp126","10.826299149832597"
"2027","NorESM2-MM","ssp245","11.249778237266117"
"2027","NorESM2-MM","ssp370","10.793877340797717"
"2027","NorESM2-MM","ssp585","11.483908875716107"
"2028","CMCC-CM2-SR5","ssp126","11.44700364253309"
"2028","CMCC-CM2-SR5","ssp245","11.37127780807354"
"2028","CMCC-CM2-SR5","ssp370","11.198539585411567"
"2028","CMCC-CM2-SR5","ssp585","11.63967129597627"
"2028","EC-Earth3-Veg","ssp126","12.491053316042205"
"2028","EC-Earth3-Veg","ssp245","11.657059547476429"
"2028","EC-Earth3-Veg","ssp370","11.168492177455226"
"2028","EC-Earth3-Veg","ssp585","12.595351959796945"
"2028","IPSL-CM6A-LR","ssp126","11.558399869199462"
"2028","IPSL-CM6A-LR","ssp245","11.13611023160328"
"2028","IPSL-CM6A-LR","ssp370","10.981427571598102"
"2028","IPSL-CM6A-LR","ssp585","11.198297415745596"
"2028","MIROC6","ssp126","12.440824604210468"
"2028","MIROC6","ssp245","10.913585968628162"
"2028","MIROC6","ssp370","10.986385992423468"
"2028","MIROC6","ssp585","11.544811362720191"
"2028","MPI-ESM1-2-HR","ssp126","10.78251768898366"
"2028","MPI-ESM1-2-HR","ssp245","11.330018290901139"
"2028","MPI-ESM1-2-HR","ssp370","10.034748619720034"
"2028","MPI-ESM1-2-HR","ssp585","10.31786222285385"
"2028","NorESM2-MM","ssp126","10.971040787021714"
"2028","NorESM2-MM","ssp245","10.578734066192624"
"2028","NorESM2-MM","ssp370","10.443712243205557"
"2028","NorESM2-MM","ssp585","11.006203196934853"
"2029","CMCC-CM2-SR5","ssp126","11.411861489097653"
"2029","CMCC-CM2-SR5","ssp245","11.356267456716145"
"2029","CMCC-CM2-SR5","ssp370","10.397530916254574"
"2029","CMCC-CM2-SR5","ssp585","11.0649672190419"
"2029","EC-Earth3-Veg","ssp126","12.438995582672032"
"2029","EC-Earth3-Veg","ssp245","12.465987331437832"
"2029","EC-Earth3-Veg","ssp370","11.22069363218451"
"2029","EC-Earth3-Veg","ssp585","11.68503298861348"
"2029","IPSL-CM6A-LR","ssp126","11.308784555340585"
"2029","IPSL-CM6A-LR","ssp245","11.618900410039112"
"2029","IPSL-CM6A-LR","ssp370","11.638953910362918"
"2029","IPSL-CM6A-LR","ssp585","11.094022703686326"
"2029","MIROC6","ssp126","11.760359606826274"
"2029","MIROC6","ssp245","11.879872236190684"
"2029","MIROC6","ssp370","12.199099600284901"
"2029","MIROC6","ssp585","11.069579839557154"
"2029","MPI-ESM1-2-HR","ssp126","11.450626265193197"
"2029","MPI-ESM1-2-HR","ssp245","12.295818323681353"
"2029","MPI-ESM1-2-HR","ssp370","10.514515856506916"
"2029","MPI-ESM1-2-HR","ssp585","11.441630924624466"
"2029","NorESM2-MM","ssp126","10.131743604218675"
"2029","NorESM2-MM","ssp245","11.319733740919222"
"2029","NorESM2-MM","ssp370","10.259495190615336"
"2029","NorESM2-MM","ssp585","10.27416509799056"
"2030","CMCC-CM2-SR5","ssp126","11.512267203266907"
"2030","CMCC-CM2-SR5","ssp245","11.348264468889912"
"2030","CMCC-CM2-SR5","ssp370","10.687681765506495"
"2030","CMCC-CM2-SR5","ssp585","12.138904176496574"
"2030","EC-Earth3-Veg","ssp126","12.736019507527976"
"2030","EC-Earth3-Veg","ssp245","10.293188094887997"
"2030","EC-Earth3-Veg","ssp370","10.667907263153703"
"2030","EC-Earth3-Veg","ssp585","11.538005386689598"
"2030","IPSL-CM6A-LR","ssp126","12.075821252034796"
"2030","IPSL-CM6A-LR","ssp245","11.927511531451625"
"2030","IPSL-CM6A-LR","ssp370","10.440057694366612"
"2030","IPSL-CM6A-LR","ssp585","12.01867649731541"
"2030","MIROC6","ssp126","12.815556164733113"
"2030","MIROC6","ssp245","11.54266041930984"
"2030","MIROC6","ssp370","11.789883873652116"
"2030","MIROC6","ssp585","10.592999190857478"
"2030","MPI-ESM1-2-HR","ssp126","9.83395840021416"
"2030","MPI-ESM1-2-HR","ssp245","10.597658314273497"
"2030","MPI-ESM1-2-HR","ssp370","11.730844110453928"
"2030","MPI-ESM1-2-HR","ssp585","11.32235258355876"
"2030","NorESM2-MM","ssp126","10.500551288867946"
"2030","NorESM2-MM","ssp245","10.131658587982393"
"2030","NorESM2-MM","ssp370","10.699410440842767"
"2030","NorESM2-MM","ssp585","11.249427629645021"
"2031","CMCC-CM2-SR5","ssp126","11.386419402300827"
"2031","CMCC-CM2-SR5","ssp245","12.232910764446686"
"2031","CMCC-CM2-SR5","ssp370","10.831263024637883"
"2031","CMCC-CM2-SR5","ssp585","12.72360780336352"
"2031","EC-Earth3-Veg","ssp126","11.963024411530906"
"2031","EC-Earth3-Veg","ssp245","11.060454119136292"
"2031","EC-Earth3-Veg","ssp370","10.718831395694016"
"2031","EC-Earth3-Veg","ssp585","12.189233889760551"
"2031","IPSL-CM6A-LR","ssp126","11.147877298649226"
"2031","IPSL-CM6A-LR","ssp245","12.250368537662588"
"2031","IPSL-CM6A-LR","ssp370","11.415529089175871"
"2031","IPSL-CM6A-LR","ssp585","10.700610879860147"
"2031","MIROC6","ssp126","11.196105569798911"
"2031","MIROC6","ssp245","12.244548203501257"
"2031","MIROC6","ssp370","10.912822798170419"
"2031","MIROC6","ssp585","11.074134668645687"
"2031","MPI-ESM1-2-HR","ssp126","9.861218304761454"
"2031","MPI-ESM1-2-HR","ssp245","9.912198540978862"
"2031","MPI-ESM1-2-HR","ssp370","11.512507953118723"
"2031","MPI-ESM1-2-HR","ssp585","10.42430824929448"
"2031","NorESM2-MM","ssp126","11.43855275817191"
"2031","NorESM2-MM","ssp245","10.924567705113335"
"2031","NorESM2-MM","ssp370","10.330004717859259"
"2031","NorESM2-MM","ssp585","11.746944570015865"
"2032","CMCC-CM2-SR5","ssp126","11.768042331732174"
"2032","CMCC-CM2-SR5","ssp245","11.996914263977011"
"2032","CMCC-CM2-SR5","ssp370","11.455527173180466"
"2032","CMCC-CM2-SR5","ssp585","11.672621132304009"
"2032","EC-Earth3-Veg","ssp126","11.546890063092999"
