SSP,Decade,Technology,NewCapacity,CumulativeCapacity,InvestmentCost
ssp245,2090s,GSHP,0.0,449.78769827626854,0.0
ssp245,2090s,NG_boiler,0.0,1018.7546145991912,0.0
ssp245,2090s,ASHP,0.0,2050.90950106429,0.0
ssp245,2090s,E_boiler,0.0,0.0,0.0
ssp245,2090s,BTES,0.0,800.0,0.0
ssp370,2090s,GSHP,0.0,449.78769827626854,0.0
ssp370,2090s,NG_boiler,0.0,933.3965315581922,0.0
ssp370,2090s,ASHP,0.0,2050.90950106429,0.0
ssp370,2090s,E_boiler,0.0,0.0,0.0
ssp370,2090s,BTES,0.0,800.0,0.0
ssp585,2090s,GSHP,0.0,449.78769827626854,0.0
ssp585,2090s,NG_boiler,0.0,933.3965315581922,0.0
ssp585,2090s,ASHP,0.0,2050.90950106429,0.0
ssp585,2090s,E_boiler,0.0,0.0,0.0
ssp585,2090s,BTES,0.0,800.0,0.0
