SSP,Decade,Day,Hour,Loss_type,Value
past,2020s,6,9,Ventilation,-115.58161869490397
past,2020s,6,9,Solar,117.1282536800721
past,2020s,6,9,Internal,700.0
past,2020s,6,10,Wall,-342.0540431820648
past,2020s,6,10,Ventilation,-109.45729381826072
past,2020s,6,10,Solar,153.14562693970092
past,2020s,6,10,Internal,700.0
past,2020s,6,11,Wall,-325.1945187301892
past,2020s,6,11,Ventilation,-104.06224599366055
past,2020s,6,11,Solar,177.89860008510396
past,2020s,6,11,Internal,700.0
past,2020s,6,12,Wall,-315.43426661175545
past,2020s,6,12,Ventilation,-100.93896531576175
past,2020s,6,12,Solar,188.53788200777728
past,2020s,6,12,Internal,700.0
past,2020s,6,13,Wall,-316.46389725635277
past,2020s,6,13,Ventilation,-101.26844712203288
past,2020s,6,13,Solar,183.06365077188542
past,2020s,6,13,Internal,700.0
past,2020s,6,14,Wall,-329.6081693098452
past,2020s,6,14,Ventilation,-105.47461417915048
past,2020s,6,14,Solar,159.36899921532523
past,2020s,6,14,Internal,700.0
past,2020s,6,15,Wall,-353.3729479425986
past,2020s,6,15,Ventilation,-113.07934334163156
past,2020s,6,15,Solar,121.45979841609216
past,2020s,6,15,Internal,700.0
past,2020s,6,16,Wall,-385.65155138218273
past,2020s,6,16,Ventilation,-123.40849644229849
past,2020s,6,16,Solar,73.32093762290144
past,2020s,6,16,Internal,700.0
past,2020s,6,17,Wall,-420.961750872693
past,2020s,6,17,Ventilation,-134.70776027926178
past,2020s,6,17,Solar,33.74024688957936
past,2020s,6,17,Internal,700.0
past,2020s,6,18,Wall,-452.8781203308007
past,2020s,6,18,Ventilation,-144.92099850585623
past,2020s,6,18,Solar,11.95850851094817
past,2020s,6,18,Internal,700.0
past,2020s,6,19,Wall,-479.0180165780424
past,2020s,6,19,Ventilation,-153.28576530497358
past,2020s,6,19,Solar,1.8802549547933827
past,2020s,6,19,Internal,700.0
past,2020s,6,20,Wall,-499.11896481082636
past,2020s,6,20,Ventilation,-159.71806873946446
past,2020s,6,20,Solar,0.005842032838804296
past,2020s,6,20,Internal,700.0
past,2020s,6,21,Wall,-515.1834638507244
past,2020s,6,21,Ventilation,-20.607338554028974
past,2020s,6,21,Solar,0.012702140160917766
past,2020s,6,21,Internal,105.0
past,2020s,6,22,Wall,-513.7371191631338
past,2020s,6,22,Ventilation,-20.549484766525353
past,2020s,6,22,Solar,0.015619631771712102
past,2020s,6,22,Internal,105.0
past,2020s,6,23,Wall,-511.2056606996622
past,2020s,6,23,Ventilation,-20.448226427986487
past,2020s,6,23,Solar,0.021286896704853373
past,2020s,6,23,Internal,105.0
past,2020s,9,0,Wall,-837.325651949602
past,2020s,9,0,Ventilation,-33.493026077984084
past,2020s,9,0,Solar,0.0
past,2020s,9,0,Internal,105.0
past,2020s,9,1,Wall,-841.2966334909048
past,2020s,9,1,Ventilation,-33.651865339636196
past,2020s,9,1,Solar,0.0
past,2020s,9,1,Internal,105.0
past,2020s,9,2,Wall,-841.5694950212054
past,2020s,9,2,Ventilation,-33.66277980084822
past,2020s,9,2,Solar,0.0
past,2020s,9,2,Internal,105.0
past,2020s,9,3,Wall,-838.6864865364571
past,2020s,9,3,Ventilation,-33.54745946145828
past,2020s,9,3,Solar,0.0
past,2020s,9,3,Internal,105.0
past,2020s,9,4,Wall,-830.6763428420916
past,2020s,9,4,Ventilation,-33.22705371368367
past,2020s,9,4,Solar,4.400061435902879
past,2020s,9,4,Internal,105.0
past,2020s,9,5,Wall,-800.4796046971512
past,2020s,9,5,Ventilation,-32.01918418788605
past,2020s,9,5,Solar,42.381224658456425
past,2020s,9,5,Internal,105.0
past,2020s,9,6,Wall,-732.6049209283526
past,2020s,9,6,Ventilation,-29.304196837134107
past,2020s,9,6,Solar,123.09779078904091
past,2020s,9,6,Internal,105.0
past,2020s,9,7,Wall,-629.7935332165823
past,2020s,9,7,Ventilation,-25.191741328663298
past,2020s,9,7,Solar,231.5034659413913
past,2020s,9,7,Internal,105.0
past,2020s,9,8,Wall,-510.34400344907
past,2020s,9,8,Ventilation,-163.3100811037024
past,2020s,9,8,Solar,333.2196399035221
past,2020s,9,8,Internal,700.0
past,2020s,9,9,Wall,-406.648507619807
past,2020s,9,9,Ventilation,-130.12752243833825
past,2020s,9,9,Solar,403.089231942133
past,2020s,9,9,Internal,700.0
past,2020s,9,10,Wall,-313.31070118967517
past,2020s,9,10,Ventilation,-100.25942438069606
past,2020s,9,10,Solar,438.55725926667503
past,2020s,9,10,Internal,700.0
past,2020s,9,11,Wall,-236.97018002275342
past,2020s,9,11,Ventilation,-75.8304576072811
past,2020s,9,11,Solar,459.99898175361704
past,2020s,9,11,Internal,700.0
past,2020s,9,12,Wall,-186.22930796932422
past,2020s,9,12,Ventilation,-59.59337855018376
past,2020s,9,12,Solar,482.480476386584
past,2020s,9,12,Internal,700.0
past,2020s,9,13,Wall,-166.69984558900296
past,2020s,9,13,Ventilation,-53.34395058848095
past,2020s,9,13,Solar,499.26289442990196
past,2020s,9,13,Internal,700.0
past,2020s,9,14,Wall,-179.35314604249555
past,2020s,9,14,Ventilation,-57.39300673359858
past,2020s,9,14,Solar,482.92354474193445
past,2020s,9,14,Internal,700.0
past,2020s,9,15,Wall,-220.50671352506072
past,2020s,9,15,Ventilation,-70.56214832801943
past,2020s,9,15,Solar,420.8728991894786
past,2020s,9,15,Internal,700.0
past,2020s,9,16,Wall,-285.97205581396935
past,2020s,9,16,Ventilation,-91.5110578604702
past,2020s,9,16,Solar,315.43436891731045
past,2020s,9,16,Internal,700.0
past,2020s,9,17,Wall,-372.4507423789987
past,2020s,9,17,Ventilation,-119.18423756127959
past,2020s,9,17,Solar,187.92191235830597
past,2020s,9,17,Internal,700.0
past,2020s,9,18,Wall,-470.022407933663
past,2020s,9,18,Ventilation,-150.40717053877216
past,2020s,9,18,Solar,78.48442693581248
past,2020s,9,18,Internal,700.0
past,2020s,9,19,Wall,-560.1622276533092
past,2020s,9,19,Ventilation,-179.25191284905895
past,2020s,9,19,Solar,17.35879194965127
past,2020s,9,19,Internal,700.0
past,2020s,9,20,Wall,-628.8295174334942
past,2020s,9,20,Ventilation,-201.22544557871817
past,2020s,9,20,Solar,0.0
past,2020s,9,20,Internal,700.0
past,2020s,9,21,Wall,-677.5772289595766
past,2020s,9,21,Ventilation,-27.103089158383064
past,2020s,9,21,Solar,0.0
past,2020s,9,21,Internal,105.0
past,2020s,9,22,Wall,-700.7923109337783
past,2020s,9,22,Ventilation,-28.031692437351133
past,2020s,9,22,Solar,0.0
past,2020s,9,22,Internal,105.0
past,2020s,9,23,Wall,-717.7437720595324
past,2020s,9,23,Ventilation,-28.7097508823813
past,2020s,9,23,Solar,0.0
past,2020s,9,23,Internal,105.0
past,2020s,15,0,Wall,535.622990890439
past,2020s,15,0,Ventilation,21.424919635617563
past,2020s,15,0,Solar,0.0
past,2020s,15,0,Internal,105.0
past,2020s,15,1,Wall,436.6006866788936
past,2020s,15,1,Ventilation,17.464027467155745
past,2020s,15,1,Solar,0.007870272412156014
past,2020s,15,1,Internal,105.0
past,2020s,15,2,Wall,326.2440476344756
past,2020s,15,2,Ventilation,13.049761905379023
past,2020s,15,2,Solar,0.06058399427079948
past,2020s,15,2,Internal,105.0
past,2020s,15,3,Wall,235.01866029792097
past,2020s,15,3,Ventilation,9.40074641191684
past,2020s,15,3,Solar,0.14129119681024002
past,2020s,15,3,Internal,105.0
past,2020s,15,4,Wall,169.97750739569426
past,2020s,15,4,Ventilation,6.79910029582777
past,2020s,15,4,Solar,12.607527860914677
past,2020s,15,4,Internal,105.0
past,2020s,15,5,Wall,207.08711813504266
past,2020s,15,5,Ventilation,8.283484725401706
past,2020s,15,5,Solar,106.7812706394114
past,2020s,15,5,Internal,105.0
past,2020s,15,6,Wall,695.3124878346123
past,2020s,15,6,Ventilation,27.81249951338449
past,2020s,15,6,Solar,253.56410724979327
past,2020s,15,6,Internal,105.0
past,2020s,15,7,Wall,1298.7285609700057
past,2020s,15,7,Ventilation,51.94914243880024
past,2020s,15,7,Solar,394.584774241051
past,2020s,15,7,Internal,105.0
past,2020s,15,8,Wall,1942.0478976097106
past,2020s,15,8,Ventilation,621.4553272351075
past,2020s,15,8,Solar,492.13359191593247
past,2020s,15,8,Internal,700.0
past,2020s,15,9,Wall,2190.838885553623
past,2020s,15,9,Ventilation,701.0684433771594
past,2020s,15,9,Solar,533.1579888422594
past,2020s,15,9,Internal,700.0
past,2020s,15,10,Wall,2300.8718035093643
past,2020s,15,10,Ventilation,736.2789771229966
past,2020s,15,10,Solar,529.1292953892219
past,2020s,15,10,Internal,700.0
past,2020s,15,11,Wall,2312.1469647122926
past,2020s,15,11,Ventilation,739.8870287079336
past,2020s,15,11,Solar,518.3649609508622
past,2020s,15,11,Internal,700.0
past,2020s,15,12,Wall,2268.5610140522667
past,2020s,15,12,Ventilation,725.9395244967254
